Category,Type,Difficulty,Question,Answer,Incorred Answers
General Knowledge,boolean,medium,VGhlIGJpa2luaSBpcyBuYW1lZCBhZnRlciB0aGUgIkJpa2luaSBBdG9sbCIsIGFuIGlzbGFuZCB3aGVyZSB0aGUgVW5pdGVkIFN0YXRlcyBjb25kdWN0ZWQgdGVzdHMgb24gYXRvbWljIGJvbWJzLg==,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,V2hpY2ggb2YgdGhlc2UgY29tcGFuaWVzIGRvZXMgTk9UIG1hbnVmYWN0dXJlIGF1dG9tb2JpbGVzPw==,RHVjYXRp,"['Tmlzc2Fu', 'R01D', 'RmlhdA==']"
General Knowledge,boolean,medium,WW91IGFyZSBhbGxvd2VkIHRvIHNlbGwgeW91ciBzb3VsIG9uIGVCYXku,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,easy,V2hhdCBpcyB0aGUgbmlja25hbWUgb2YgdGhlIFVTIHN0YXRlIG9mIENhbGlmb3JuaWE\/,R29sZGVuIFN0YXRl,"['U3Vuc2hpbmUgU3RhdGU=', 'QmF5IFN0YXRl', 'VHJlYXN1cmUgU3RhdGU=']"
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgU3dlZGlzaCB3b3JkIGZvciAid2luZG93Ij8=,RsO2bnN0ZXI=,"['SMOlbA==', 'U2vDpHJt', 'UnV0YQ==']"
General Knowledge,multiple,hard,VGhlIFN3ZWRpc2ggd29yZCAiR3J1bmthIiBtZWFucyB3aGF0IGluIEVuZ2xpc2g\/,VGhpbmc=,"['UGVvcGxl', 'UGxhY2U=', 'UGluZWFwcGxl']"
General Knowledge,boolean,easy,IkFuYW5hcyIgaXMgbW9zdGx5IHVzZWQgYXMgdGhlIHdvcmQgZm9yIFBpbmVhcHBsZSBpbiBvdGhlciBsYW5ndWFnZXMu,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,boolean,easy,WW91IGNhbiBsZWdhbGx5IGRyaW5rIGFsY29ob2wgd2hpbGUgZHJpdmluZyBpbiBNaXNzaXNzaXBwaS4=,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,boolean,medium,S2lzc2luZyBzb21lb25lIGZvciBvbmUgbWludXRlIGJ1cm5zIGFib3V0IDIgY2Fsb3JpZXMu,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,easy,Rml2ZSBkb2xsYXJzIGlzIHdvcnRoIGhvdyBtYW55IG5pY2tsZXM\/,MTAw,"['NTA=', 'MjU=', 'Njk=']"
General Knowledge,boolean,hard,UGx1dG8gaXMgYSBwbGFuZXQu,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,medium,VGhlIG5ldyBPbmUgV29ybGQgVHJhZGUgQ2VudGVyIGluIE1hbmhhdHRhbiwgTmV3IFlvcmsgQ2l0eSB3YXMgZGVzaWduZWQgYnkgd2hpY2ggYXJjaGl0ZWN0PyA=,RGF2aWQgQ2hpbGRz,"['QmphcmtlIEluZ2Vscw==', 'TWljaGFlbCBBcmFk', 'RnVtaWhpa28gTWFraQ==']"
General Knowledge,multiple,easy,QWNjb3JkaW5nIHRvIFNoZXJsb2NrIEhvbG1lcywgIklmIHlvdSBlbGltaW5hdGUgdGhlIGltcG9zc2libGUsIHdoYXRldmVyIHJlbWFpbnMsIGhvd2V2ZXIgaW1wcm9iYWJsZSwgbXVzdCBiZSB0aGUuLi4i,VHJ1dGg=,"['QW5zd2Vy', 'Q2F1c2U=', 'U291cmNl']"
General Knowledge,multiple,medium,V2hhdCBkaXJlY3Rpb24gZG9lcyB0aGUgU3RhdHVlIG9mIExpYmVydHkgZmFjZT8=,U291dGhlYXN0,"['U291dGh3ZXN0', 'Tm9ydGh3ZXN0', 'Tm9ydGhlYXN0']"
General Knowledge,multiple,medium,V2hlbiB3YXMgSHViYmEgQnViYmEgZmlyc3QgaW50cm9kdWNlZD8=,MTk3OQ==,"['MTk4NA==', 'MTk3Mg==', 'MTk4MA==']"
General Knowledge,multiple,easy,V2hhdCB3YXMgdGhlIGZpcnN0IGV2ZXIgTG9uZG9uIFVuZGVyZ3JvdW5kIGxpbmUgdG8gYmUgYnVpbHQ\/,TWV0cm9wb2xpdGFuIExpbmU=,"['Q2lyY2xlIExpbmU=', 'QmFrZXJsb28gTGluZQ==', 'VmljdG9yaWEgTGluZQ==']"
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgUG9ydHVndWVzZSB3b3JkIGZvciAiQnJhemlsIj8=,QnJhc2ls,"['QnJhemls', 'QnJhc2lsaWE=', 'QnJhc8OtbA==']"
General Knowledge,multiple,hard,V2hhdCB3YXMgQmFuayBvZiBBbWVyaWNhIG9yaWdpbmFsbHkgZXN0YWJsaXNoZWQgYXM\/,QmFuayBvZiBJdGFseQ==,"['QmFuayBvZiBMb25nIElzbGFuZA==', 'QmFuayBvZiBQZW5uc3lsdmFuaWE=', 'QmFuayBvZiBDaGFybG90dGU=']"
General Knowledge,multiple,medium,SW4gYSAxOTk0IENCUyBpbnRlcnZpZXcsIE1pY3Jvc29mdCBjby1mb3VuZGVyIEJpbGwgR2F0ZXMgcGVyZm9ybWVkIHdoYXQgdW51c3VhbCB0cmljayBvbiBjYW1lcmE\/,SnVtcGluZyBvdmVyIGFuIG9mZmljZSBjaGFpcg==,"['SnVtcGluZyBiYWNrd2FyZHMgb3ZlciBhIGRlc2s=', 'U3RhbmRpbmcgb24gaGlzIGhlYWQ=', 'VHlwaW5nIG9uIGEga2V5Ym9hcmQgZHVyaW5nIGEgaGFuZHN0YW5k']"
General Knowledge,boolean,medium,IlNhbnRhIENsYXVzIiBpcyBhIHZhcmlldHkgb2YgbWVsb24u,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,V2hpY2ggc2xvZ2FuIGRpZCB0aGUgZmFzdCBmb29kIGNvbXBhbnksIE1jRG9uYWxkJ3MsIHVzZSBiZWZvcmUgdGhlaXIgIkknbSBMb3ZpbicgSXQiIHNsb2dhbj8=,V2UgTG92ZSB0byBTZWUgWW91IFNtaWxl,"['V2h5IFBheSBNb3JlIT8=', 'SGF2ZSBJdCBZb3VyIFdheQ==', 'TWFraW5nIFBlb3BsZSBIYXBweSBUaHJvdWdoIEZvb2Q=']"
General Knowledge,multiple,medium,V2hhdCBpcyByZWFsIGhhZ2dpcyBtYWRlIG9mPw==,U2hlZXAncyBIZWFydCwgTGl2ZXIgYW5kIEx1bmdz,"['U2hlZXAncyBIZWFydCwgS2lkbmV5cyBhbmQgTHVuZ3M=', 'U2hlZXAncyBMaXZlciwgS2lkbmV5cyBhbmQgRXllcw==', 'V2hvbGUgU2hlZXA=']"
General Knowledge,multiple,hard,V2hvIGZvdW5kZWQgdGhlIEtoYW4gQWNhZGVteT8=,U2FsIEtoYW4=,"['QmVuIEtoYW4=', 'S2l0dCBLaGFu', 'QWRlbCBLaGFu']"
General Knowledge,multiple,easy,V2hhdCBtYWNoaW5lIGVsZW1lbnQgaXMgbG9jYXRlZCBpbiB0aGUgY2VudGVyIG9mIGZpZGdldCBzcGlubmVycz8=,QmVhcmluZ3M=,"['QXhsZXM=', 'R2VhcnM=', 'QmVsdHM=']"
General Knowledge,multiple,easy,V2hpY2ggb2YgdGhlIGZvbGxvd2luZyBwcmVzaWRlbnRzIGlzIG5vdCBvbiBNb3VudCBSdXNobW9yZT8=,Sm9obiBGLiBLZW5uZWR5,"['VGhlb2RvcmUgUm9vc2V2ZWx0', 'QWJyYWhhbSBMaW5jb2xu', 'VGhvbWFzIEplZmZlcnNvbg==']"
General Knowledge,multiple,medium,VGhlIHdlYnNpdGUgIlNodXQgVXAgJiBTaXQgRG93biIgcmV2aWV3cyB3aGljaCBmb3JtIG9mIG1lZGlhPw==,Qm9hcmQgR2FtZXM=,"['VGVsZXZpc2lvbiBTaG93cw==', 'VmlkZW8gR2FtZXM=', 'RmlsbXM=']"
General Knowledge,multiple,easy,V2hhdCBpcyBUYXNtYW5pYT8=,QW4gQXVzdHJhbGlhbiBTdGF0ZQ==,"['QSBmbGF2b3Igb2YgQmVuIGFuZCBKZXJyeSdzIGljZS1jcmVhbQ==', 'QSBQc3ljaG9sb2dpY2FsIERpc29yZGVy', 'VGhlIE5hbWUgb2YgYSBXYXJuZXIgQnJvdGhlcnMgQ2FydG9vbiBDaGFyYWN0ZXI=']"
General Knowledge,multiple,hard,SWYgc29tZW9uZSBzYWlkICJ5b3UgYXJlIG9saWQiLCB3aGF0IHdvdWxkIHRoZXkgbWVhbj8=,WW91IHNtZWxsIGV4dHJlbWVseSB1bnBsZWFzYW50Lg==,"['WW91IGFyZSBvdXQgb2Ygc2hhcGUvd2Vhay4=', 'WW91ciBhcHBlYXJhbmNlIGlzIHJlcHVsc2l2ZS4=', 'WW91IGFyZSBpbmNvbXByZWhlbnNpYmxlL2FuIGlkaW90Lg==']"
General Knowledge,boolean,medium,SGFnZ2lzIGlzIHRyYWRpdGlvbmFsbHkgYXRlIG9uIEJ1cm5zIE5pZ2h0Lg==,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,V2hpY2ggb2YgdGhlc2Ugd29yZHMgbWVhbnMgImlkbGUgc3BlY3RhdG9yIj8=,R29uZ29vemxlcg==,"['R29zc3lwaWJvbWE=', 'SmVudGFjdWxhcg==', 'TWV1cGFyZXVuaWE=']"
General Knowledge,multiple,easy,SW4gd2hpY2ggZmFzdCBmb29kIGNoYWluIGNhbiB5b3Ugb3JkZXIgYSBKYW1vY2hhIFNoYWtlPw==,QXJieSdz,"['TWNEb25hbGQncw==', 'QnVyZ2VyIEtpbmc=', 'V2VuZHkncw==']"
General Knowledge,multiple,medium,V2hpY2ggY29tcGFueSdzIG9yaWdpbmFsIHNsb2dhbiB3YXMgIkRvbid0IGJlIGV2aWwiPw==,R29vZ2xl,"['QXBwbGU=', 'WWFob28=', 'TWljcm9zb2Z0']"
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgY3VycmVuY3kgb2YgUG9sYW5kPw==,WsWCb3R5,"['UnVibGU=', 'RXVybw==', 'S3JvbmU=']"
General Knowledge,multiple,easy,VGhlIGxpa2VuZXNzIG9mIHdoaWNoIHByZXNpZGVudCBpcyBmZWF0dXJlZCBvbiB0aGUgcmFyZSAkMiBiaWxsIG9mIFVTQSBjdXJyZW5jeT8=,VGhvbWFzIEplZmZlcnNvbg==,"['TWFydGluIFZhbiBCdXJlbg==', 'VWx5c3NlcyBHcmFudA==', 'Sm9obiBRdWluY3kgQWRhbXM=']"
General Knowledge,multiple,easy,V2hhdCBpcyBDeW5vcGhvYmlhIHRoZSBmZWFyIG9mPw==,RG9ncw==,"['QmlyZHM=', 'Rmx5aW5n', 'R2VybXM=']"
General Knowledge,multiple,medium,V2hpY2ggQW1lcmljYW4gbWFudWZhY3R1cmVkIHN1Ym1hY2hpbmUgZ3VuIHdhcyBpbmZvcm1hbGx5IGtub3duIGJ5IHRoZSBBbWVyaWNhbiBzb2xkaWVycyB0aGF0IHVzZWQgaXQgYXMgIkdyZWFzZSBHdW4iPw==,TTM=,"['Q29sdCA5bW0=', 'VGhvbXBzb24=', 'TUFDLTEw']"
General Knowledge,boolean,medium,VGhlIGNvbW1lcmNpYWwgVUsgY2hhbm5lbCBJVFYgc3RhbmRzIGZvciAiSW50ZXJuYXRpb25hbCBUZWxldmlzaW9uIi4=,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgaGlnaGVzdCBudW1iZXIgb2YgTWljaGVsaW4gc3RhcnMgYSByZXN0YXVyYW50IGNhbiByZWNlaXZlPw==,VGhyZWU=,"['Rm91cg==', 'Rml2ZQ==', 'U2l4']"
General Knowledge,multiple,easy,V2hlbiBzb21lb25lIGlzIGNvd2FyZGx5LCB0aGV5IGFyZSBzYWlkIHRvIGhhdmUgd2hhdCBjb2xvciBiZWxseT8=,WWVsbG93,"['R3JlZW4=', 'UmVk', 'Qmx1ZQ==']"
General Knowledge,multiple,easy,VmlyZ2luIFRyYWlucywgVmlyZ2luIEF0bGFudGljIGFuZCBWaXJnaW4gUmFjaW5nLCBhcmUgYWxsIGNvbXBhbmllcyBvd25lZCBieSB3aGljaCBmYW1vdXMgZW50cmVwcmVuZXVyPyAgIA==,UmljaGFyZCBCcmFuc29u,"['QWxhbiBTdWdhcg==', 'RG9uYWxkIFRydW1w', 'QmlsbCBHYXRlcw==']"
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgd29ybGQncyBtb3N0IGV4cGVuc2l2ZSBzcGljZSBieSB3ZWlnaHQ\/,U2FmZnJvbg==,"['Q2lubmFtb24=', 'Q2FyZGFtb20=', 'VmFuaWxsYQ==']"
General Knowledge,multiple,medium,VGhpcyBmaWVsZCBpcyBzb21ldGltZXMga25vd24gYXMg4oCcVGhlIERpc21hbCBTY2llbmNlLuKAnQ==,RWNvbm9taWNz,"['UGhpbG9zb3BoeQ==', 'UG9saXRpY3M=', 'UGh5c2ljcw==']"
General Knowledge,multiple,easy,V2hhdCBpcyB0aGUgZmlyc3QgYm9vayBvZiB0aGUgT2xkIFRlc3RhbWVudD8=,R2VuZXNpcw==,"['RXhvZHVz', 'TGV2aXRpY3Vz', 'TnVtYmVycw==']"
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgZGVmaW5pbmcgY2hhcmFjdGVyaXN0aWMgb2Ygc29tZW9uZSB3aG8gaXMgZGVzY3JpYmVkIGFzIGhpcnN1dGU\/,SGFpcnk=,"['UnVkZQ==', 'RnVubnk=', 'VGFsbA==']"
General Knowledge,multiple,easy,SW4gcGFzdCB0aW1lcywgd2hhdCB3b3VsZCBhIGdlbnRsZW1hbiBrZWVwIGluIGhpcyBmb2IgcG9ja2V0Pw==,V2F0Y2g=,"['TW9uZXk=', 'S2V5cw==', 'Tm90ZWJvb2s=']"
General Knowledge,boolean,medium,IlR5cGV3cml0ZXIiIGlzIHRoZSBsb25nZXN0IHdvcmQgdGhhdCBjYW4gYmUgdHlwZWQgdXNpbmcgb25seSB0aGUgZmlyc3Qgcm93IG9uIGEgUVdFUlRZIGtleWJvYXJkLg==,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,easy,SG93IHdvdWxkIG9uZSBzYXkgZ29vZGJ5ZSBpbiBTcGFuaXNoPw==,QWRpw7Nz,"['IEhvbGE=', 'QXUgUmV2b2ly', 'U2FsaXI=']"
General Knowledge,multiple,medium,U2NvdGNoIHdoaXNreSBhbmQgRHJhbWJ1aWUgbWFrZSB1cCB3aGljaCBjb2NrdGFpbD8=,UnVzdHkgTmFpbA==,"['U2NyZXdkcml2ZXI=', 'U2V4IG9uIHRoZSBCZWFjaA==', 'TWFuaGF0dGFu']"
General Knowledge,multiple,medium,SW4gdGhlIE1vcnNlIGNvZGUsIHdoaWNoIGxldHRlciBpcyBpbmRpY2F0ZWQgYnkgMyBkb3RzPyA=,Uw==,"['Tw==', 'QQ==', 'Qw==']"
General Knowledge,multiple,easy,T24gYSBkYXJ0Ym9hcmQsIHdoYXQgbnVtYmVyIGlzIGRpcmVjdGx5IG9wcG9zaXRlIE5vLiAxPw==,MTk=,"['MjA=', 'MTI=', 'MTU=']"
General Knowledge,multiple,medium,V2hhdCBkb2VzIHRoZSAiRyIgbWVhbiBpbiAiRy1NYW4iPw==,R292ZXJubWVudA==,"['R29pbmc=', 'R2hvc3Q=', 'R2Vyb25pbW8=']"
General Knowledge,boolean,medium,VGhlIHZhcG9yIHByb2R1Y2VkIGJ5IGUtY2lnYXJldHRlcyBpcyBhY3R1YWxseSB3YXRlci4=,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,hard,V2hlbiB3YXMgIllvdVR1YmUiIGZvdW5kZWQ\/,RmVicnVhcnkgMTQsIDIwMDU=,"['TWF5IDIyLCAyMDA0', 'U2VwdGVtYmVyIDEyLCAyMDA1', 'SnVseSAxOSwgMjAwOQ==']"
General Knowledge,boolean,medium,RnVyYnkgd2FzIHJlbGVhc2VkIGluIDE5OTgu,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,SW4gMjAxMyBob3cgbXVjaCBtb25leSB3YXMgbG9zdCBieSBOaWdlcmlhbiBzY2Ftcz8=,JDEyLjcgQmlsbGlvbg==,"['JDk1IE1pbGxpb24=', 'JDk1NiBNaWxsaW9u', 'JDIuNyBCaWxsaW9u']"
General Knowledge,multiple,easy,SG93IG1hbnkgY29sb3JzIGFyZSB0aGVyZSBpbiBhIHJhaW5ib3c\/,Nw==,"['OA==', 'OQ==', 'MTA=']"
General Knowledge,multiple,medium,V2hhdCB3YXMgdGhlIGRlc3RpbmF0aW9uIG9mIHRoZSBtaXNzaW5nIGZsaWdodCBNSDM3MD8=,QmVpamluZw==,"['S3VhbGEgTHVtcHVy', 'U2luZ2Fwb3Jl', 'VG9reW8=']"
General Knowledge,multiple,medium,QSBmYWN0aW9kIGlzIHdoYXQ\/,QSBmYWxzZWhvb2Q=,"['VXNlbGVzcyB0cml2aWE=', 'QSB0aW55IGZhY3Q=', 'QSBzY2llbnRpZmljIGZpZ3VyZQ==']"
General Knowledge,multiple,hard,V2hpY2ggb2YgdGhlIGZvbGxvd2luZyBpcyBhbiBleGlzdGluZyBmYW1pbHkgaW4gIlRoZSBTaW1zIj8=,VGhlIEdvdGggRmFtaWx5,"['VGhlIEZhbWlseQ==', 'VGhlIFNpbW9sZW9uIEZhbWlseQ==', 'VGhlIFByb3VkIEZhbWlseQ==']"
General Knowledge,multiple,medium,V2hpY2ggSXRhbGlhbiBhdXRvbW9iaWxlIG1hbnVmYWN0dXJlciBnYWluZWQgbWFqb3JpdHkgY29udHJvbCBvZiBVLlMuIGF1dG9tb2JpbGUgbWFudWZhY3R1cmVyIENocnlzbGVyIGluIDIwMTE\/,RmlhdA==,"['TWFzZXJhdGk=', 'QWxmYSBSb21lbw==', 'RmVycmFyaQ==']"
General Knowledge,multiple,easy,V2hpY2ggb2YgdGhlc2UgY29sb3VycyBpcyBOT1QgZmVhdHVyZWQgaW4gdGhlIGxvZ28gZm9yIEdvb2dsZT8=,UGluaw==,"['WWVsbG93', 'Qmx1ZQ==', 'R3JlZW4=']"
General Knowledge,boolean,hard,Ik51bWJlciAxNiBCdXMgU2hlbHRlciIgd2FzIGEgY2hpbGQncyBuYW1lIHRoYXQgd2FzIGFwcHJvdmVkIGJ5IHRoZSBOZXcgWmVhbGFuZCBnb3Zlcm5tZW50Lg==,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgcm9tYW5pemVkIEphcGFuZXNlIHdvcmQgZm9yICJ1bml2ZXJzaXR5Ij8=,RGFpZ2FrdQ==,"['VG9zaG9rYW4=', 'SmltdXNobw==', 'U2hva3Vkb3U=']"
General Knowledge,multiple,hard,V2hhdCBpcyB0aGUgcm9tYW5pemVkIENoaW5lc2Ugd29yZCBmb3IgImFpcnBsYW5lIj8=,RmVpamk=,"['UWljaGU=', 'Wm9uZ3hpYW4=', 'SHVvamlhbg==']"
General Knowledge,multiple,hard,RGlzbmV5J3MgSGF1bnRlZCBNYW5zaW9uIGlzIGhvbWUgdG8gYSB0cmlvIG9mIEhpdGNoaGlraW5nIEdob3N0cy4gV2hpY2ggb2YgdGhlc2UgaXMgTk9UIG9uZSBvZiB0aGVtPw==,SGFycnk=,"['R3Vz', 'UGhpbmVhcw==', 'RXpyYQ==']"
General Knowledge,multiple,medium,V2hhdCBjb3VudHJ5IHNhdyBhIHdvcmxkIHJlY29yZCAzMTUgbWlsbGlvbiB2b3RlcnMgdHVybiBvdXQgZm9yIGVsZWN0aW9ucyBvbiBNYXkgMjAsIDE5OTE\/,SW5kaWE=,"['VW5pdGVkIFN0YXRlcyBvZiBBbWVyaWNh', 'U292aWV0IFVuaW9u', 'UG9sYW5k']"
General Knowledge,boolean,easy,T24gYXZlcmFnZSwgYXQgbGVhc3QgMSBwZXJzb24gaXMga2lsbGVkIGJ5IGEgZHJ1bmsgZHJpdmVyIGluIHRoZSBVbml0ZWQgU3RhdGVzIGV2ZXJ5IGhvdXIu,VHJ1ZQ==,['RmFsc2U=']
General Knowledge,multiple,medium,V2hvIGlzIHRoZSBmb3VuZGVyIG9mICJUaGUgTGVnbyBHcm91cCI\/,T2xlIEtpcmsgQ2hyaXN0aWFuc2Vu,"['IEplbnMgTmllbHMgQ2hyaXN0aWFuc2Vu', 'S2lyc3RpbmUgQ2hyaXN0aWFuc2Vu', 'IEdlcmhhcmR0IEtpcmsgQ2hyaXN0aWFuc2Vu']"
General Knowledge,boolean,medium,VGhlIEZyZW5jaCB3b3JkIHRvIHRyYXZlbCBpcyAiVHJhdmFpbCI=,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgbGFzdCBsZXR0ZXIgb2YgdGhlIEdyZWVrIGFscGhhYmV0Pw==,T21lZ2E=,"['TXU=', 'RXBzaWxvbg==', 'S2FwcGE=']"
General Knowledge,multiple,easy,V2hvIGlzIGRlcGljdGVkIG9uIHRoZSBVUyBodW5kcmVkIGRvbGxhciBiaWxsPw==,QmVuamFtaW4gRnJhbmtsaW4=,"['R2VvcmdlIFdhc2hpbmd0b24=', 'QWJyYWhhbSBMaW5jb2xu', 'VGhvbWFzIEplZmZlcnNvbg==']"
General Knowledge,boolean,easy,QWRvbGYgSGl0bGVyIHdhcyBib3JuIGluIEF1c3RyYWxpYS4g,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,boolean,medium,QWxiZXJ0IEVpbnN0ZWluIGhhZCB0cm91YmxlIHdpdGggbWF0aGVtYXRpY3Mgd2hlbiBoZSB3YXMgaW4gc2Nob29sLg==,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,hard,SG93IG1hbnkgY2Fsb3JpZXMgYXJlIGluIGEgMzU1IG1sIGNhbiBvZiBQZXBzaSBDb2xhPw==,MTUw,"['MjAw', 'MTAw', 'MTU1']"
General Knowledge,multiple,easy,VGhlIE5ldyBZb3JrIFRpbWVzIHNsb2dhbiBpcywg4oCcQWxsIHRoZSBOZXdzIFRoYXTigJlzIEZpdCB0b+KApuKAnQ==,UHJpbnQ=,"['RGlnZXN0', 'TG9vaw==', 'UmVhZA==']"
General Knowledge,multiple,hard,RGUgRWVtaG9mLCBQb3J0IFplbGFuZGUgYW5kIEhldCBIZWlqZGVyYm9zIGFyZSBob2xpZGF5IHZpbGxhcyBvd25lZCBieSB3aGF0IGNvbXBhbnk\/,Q2VudGVyIFBhcmNz,"['WWVsbG9oIFZpbGxhZ2U=', 'S2V5Y2FtcA==', 'VmlsbGEgUGx1cw==']"
General Knowledge,multiple,easy,V2hpY2ggcmVzdGF1cmFudCdzIG1hc2NvdCBpcyBhIGNsb3duPw==,TWNEb25hbGQncw==,"['V2hhdGFidXJnZXI=', 'QnVyZ2VyIEtpbmc=', 'U29uaWM=']"
General Knowledge,multiple,hard,V2hhdCB5ZWFyIHdhcyB0aGUgUm9ib1NhcGllbiB0b3kgcm9ib3QgcmVsZWFzZWQ\/,MjAwNA==,"['MjAwMA==', 'MjAwMQ==', 'MjAwNg==']"
General Knowledge,multiple,medium,V2hhdCBpcyBhIEJ1cmdlZT8=,QSBmbGFn,"['QSByb3Bl', 'QSB3aW5kb3c=', 'QSB0eXBlIG9mIGZvb2Q=']"
General Knowledge,multiple,medium,V2hlbiBkaWQgdGhlIHdlYnNpdGUgIkZhY2Vib29rIiBsYXVuY2g\/,MjAwNA==,"['MjAwNQ==', 'MjAwMw==', 'MjAwNg==']"
General Knowledge,multiple,medium,QXBwbGUgY28tZm91bmRlciBTdGV2ZSBKb2JzIGRpZWQgZnJvbSBjb21wbGljYXRpb25zIG9mIHdoaWNoIGZvcm0gb2YgY2FuY2VyPw==,UGFuY3JlYXRpYw==,"['Qm9uZQ==', 'TGl2ZXI=', 'U3RvbWFjaA==']"
